gemini-1.5-pro-preview-0409-P1	3	4	4	3	4	4	4	3	4	4	3	4	4	4	2	3	3	2	
gemini-1.5-pro-preview-0409-P2	3	2	4	4	4	4	3	2	4	4	4	4	4	3	3	4	4	4	4	4	4	4	4	4	
gemini-1.5-pro-preview-0409-P3	3	3	2	2	2	4	4	3	2	3	1	2	1	1	2	3	1	2	3	4	4	4	3	3	2	2	3	
gemini-1.5-pro-preview-0409-P5	3	4	4	4	4	3	3	4	5	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	3	
gemini-1.5-pro-preview-0409-P6	3	4	3	3	2	3	2	4	4	4	4	4	2	2	2	2	2	2	3	4	2	4	4	4	3	1	
gemini-1.5-pro-preview-0409-P7	3	4	4	4	4	3	4	4	4	4	4	4	4	4	4	4	5	5	5	3	5	5	4	4	4	5	2	
gemini-1.5-pro-preview-0409-P9	3	4	4	4	2	3	4	2	2	2	2	2	2	2	4	4	3	3	4	4	2	3	4	3	4	4	
gemini-1.5-pro-preview-0409-P10	3	4	4	4	4	4	4	2	4	3	4	4	3	4	3	2	3	4	2	4	4	
gemini-1.5-pro-preview-0409-P11	4	4	4	4	4	4	4	4	5	4	4	2	3	3	2	4	4	4	2	3	4	3	4	3	2	2	2	
gemini-1.5-pro-preview-0409-P13	3	4	3	4	4	4	4	4	4	4	4	4	4	5	1	2	1	1	2	1	3	4	3	4	2	2	
gemini-1.5-pro-preview-0409-P15	4	4	4	4	4	3	5	3	4	4	2	4	5	4	4	4	4	4	3	4	4	4	4	4	4	2	
gemini-1.5-pro-preview-0409-P16	4	4	4	3	3	4	4	4	3	4	4	4	4	2	4	3	3	3	2	3	3	2	
gemini-1.5-pro-preview-0409-P17	3	2	4	4	2	3	2	2	3	4	2	2	4	4	4	4	4	4	4	3	
gemini-1.5-pro-preview-0409-P18	4	3	4	4	2	4	2	4	4	3	2	4	2	2	2	3	2	4	3	4	3	3	
gemini-1.5-pro-preview-0409-P19	3	3	3	4	3	4	2	2	4	4	4	5	4	4	5	2	3	4	4	2	4	4	4	
gemini-1.5-pro-preview-0409-P21	4	4	4	4	3	4	4	4	4	4	4	4	
gemini-1.5-pro-preview-0409-P22	3	4	4	1	3	2	1	2	1	2	1	3	2	1	2	3	3	2	4	2	2	4	3	3	1	
gemini-1.5-pro-preview-0409-P23	4	4	4	4	4	3	4	4	2	3	4	4	4	3	4	4	4	4	4	4	4	4	
gemini-1.5-pro-preview-0409-P25	3	4	4	3	4	4	3	4	4	4	2	4	4	2	4	3	4	4	3	3	3	4	4	4	3	2	3	
gemini-1.5-pro-preview-0409-P27	3	4	2	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	2	4	3	3	
gemini-1.5-pro-preview-0409-P28	3	4	4	4	4	4	4	4	4	4	4	3	3	3	
gemini-1.5-pro-preview-0409-P29	3	4	3	4	3	4	4	4	4	4	2	4	4	5	4	5	4	4	4	2	4	4	4	2	3	3	3	
gemini-1.5-pro-preview-0409-P30	3	4	4	4	4	2	4	2	3	2	3	4	3	4	3	3	3	3	2	2	4	4	3	3	1	2	
gemini-1.5-pro-preview-0409-P31	2	3	3	4	2	4	2	2	4	2	2	2	2	2	2	2	3	4	2	2	2	2	2	4	
gemini-1.5-pro-preview-0409-P32	3	2	2	4	3	4	4	2	2	2	1	3	4	2	4	3	4	4	4	4	3	4	4	4	
